"ID","protein-ID","species-ID","group-ID","spec-Type","spec-No"
"PGHS_MOUSE","PGHS","MOUSE","E5230","E",5230
"PGHS_SHEEP","PGHS","SHEEP","E5100","E",5100
"PGPB_ECOLI","PGPB","ECOLI","P0810","P",810
"PGTA_SALTY","PGTA","SALTY","P0810","P",810
"PGTP_SALTY","PGTP","SALTY","P0810","P",810
"PH84_YEAST","PH84","YEAST","E8120","E",8120
"PHEP_ECOLI","PHEP","ECOLI","P0810","P",810
"PHNE_ECOLI","PHNE","ECOLI","P0810","P",810
"PHNM_ECOLI","PHNM","ECOLI","P0810","P",810
"PHO4_NEUCR","PHO4","NEUCR","E8190","E",8190
"PHOQ_ECOLI","PHOQ","ECOLI","P0810","P",810
"PHOQ_SALTY","PHOQ","SALTY","P0810","P",810
"PHOR_BACSU","PHOR","BACSU","P1510","P",1510
"PHOR_ECOLI","PHOR","ECOLI","P0810","P",810
"PHOR_PSEAE","PHOR","PSEAE","P0710","P",710
"PIC2_AGRTU","PIC2","AGRTU","P0730","P",730
"PIGR_HUMAN","PIGR","HUMAN","E5210","E",5210
"PIGR_RABIT","PIGR","RABIT","E5170","E",5170
"PIGR_RAT","PIGR","RAT","E5230","E",5230
"PILC_PSEAE","PILC","PSEAE","P0710","P",710
"PK66_PLAKN","PK66","PLAKN","E1100","E",1100
"PKBS_BOVIN","PKBS","BOVIN","E5100","E",5100
"PKBS_HUMAN","PKBS","HUMAN","E5210","E",5210
"PKBS_RAT","PKBS","RAT","E5230","E",5230
"PLR_RAT","PLR","RAT","E5230","E",5230
"PLR1_MOUSE","PLR1","MOUSE","E5230","E",5230
"PLR2_HUMAN","PLR2","HUMAN","E5210","E",5210
"PLR2_MOUSE","PLR2","MOUSE","E5230","E",5230
"PLR2_RABIT","PLR2","RABIT","E5170","E",5170
"PM1_HUMAN","PM1","HUMAN","E5210","E",5210
"PM22_HUMAN","PM22","HUMAN","E5210","E",5210
"PM22_MOUSE","PM22","MOUSE","E5230","E",5230
"PM22_RAT","PM22","RAT","E5230","E",5230
"PMP4_CANBO","PMP4","CANBO","E8300","E",8300
"PMP7_HUMAN","PMP7","HUMAN","E5210","E",5210
"PMP7_RAT","PMP7","RAT","E5230","E",5230
"PND1_ECOLI","PND1","ECOLI","P0810","P",810
"PND2_ECOLI","PND2","ECOLI","P0810","P",810
"PNTA_ECOLI","PNTA","ECOLI","P0810","P",810
"PNTB_ECOLI","PNTB","ECOLI","P0810","P",810
"PNUC_SALTY","PNUC","SALTY","P0810","P",810
"POL1_GCMV","POL1","GCMV","V7330","V",7330
"POL1_GFLV","POL1","GFLV","V7330","V",7330
"POL1_TBRVS","POL1","TBRVS","V7330","V",7330
"POLG_DEN18","POLG","DEN18","V6650","V",6650
"POLG_DEN19","POLG","DEN19","V6650","V",6650
"POLG_DEN1A","POLG","DEN1A","V6650","V",6650
"POLG_DEN1C","POLG","DEN1C","V6650","V",6650
"POLG_DEN1T","POLG","DEN1T","V6650","V",6650
"POLG_DEN1W","POLG","DEN1W","V6650","V",6650
"POLG_DEN21","POLG","DEN21","V6650","V",6650
"POLG_DEN22","POLG","DEN22","V6650","V",6650
"POLG_DEN23","POLG","DEN23","V6650","V",6650
"POLG_DEN26","POLG","DEN26","V6650","V",6650
"POLG_DEN27","POLG","DEN27","V6650","V",6650
"POLG_DEN2D","POLG","DEN2D","V6650","V",6650
"POLG_DEN2H","POLG","DEN2H","V6650","V",6650
"POLG_DEN2J","POLG","DEN2J","V6650","V",6650
"POLG_DEN2N","POLG","DEN2N","V6650","V",6650
"POLG_DEN2P","POLG","DEN2P","V6650","V",6650
"POLG_DEN2T","POLG","DEN2T","V6650","V",6650
"POLG_DEN2U","POLG","DEN2U","V6650","V",6650
"POLG_DEN3","POLG","DEN3","V6650","V",6650
"POLG_DEN4","POLG","DEN4","V6650","V",6650
"POLG_HCV1","POLG","HCV1","V6650","V",6650
"POLG_HCVA","POLG","HCVA","V6660","V",6660
"POLG_HCVB","POLG","HCVB","V6660","V",6660
"POLG_HCVBK","POLG","HCVBK","V6655","V",6655
"POLG_HCVE0","POLG","HCVE0","V6655","V",6655
"POLG_HCVE1","POLG","HCVE1","V6655","V",6655
"POLG_HCVH","POLG","HCVH","V6655","V",6655
"POLG_HCVH7","POLG","HCVH7","V6655","V",6655
"POLG_HCVH8","POLG","HCVH8","V6655","V",6655
"POLG_HCVJ2","POLG","HCVJ2","V6655","V",6655
"POLG_HCVJ5","POLG","HCVJ5","V6655","V",6655
"POLG_HCVJ6","POLG","HCVJ6","V6655","V",6655
"POLG_HCVJ7","POLG","HCVJ7","V6655","V",6655
"POLG_HCVJ8","POLG","HCVJ8","V6655","V",6655
"POLG_HCVJA","POLG","HCVJA","V6650","V",6650
"POLG_HCVJT","POLG","HCVJT","V6655","V",6655
"POLG_HCVTH","POLG","HCVTH","V6655","V",6655
"POLG_HCVTW","POLG","HCVTW","V6655","V",6655
"POLG_JAEV1","POLG","JAEV1","V6650","V",6650
"POLG_JAEV5","POLG","JAEV5","V6650","V",6650
"POLG_JAEVJ","POLG","JAEVJ","V6650","V",6650
"POLG_JAEVN","POLG","JAEVN","V6650","V",6650
"POLG_KUNJM","POLG","KUNJM","V6650","V",6650
"POLG_LANVT","POLG","LANVT","V6650","V",6650
"POLG_LANVY","POLG","LANVY","V6650","V",6650
"POLG_LIV","POLG","LIV","V6650","V",6650
"POLG_MVEV","POLG","MVEV","V6650","V",6650
"POLG_STEVM","POLG","STEVM","V6650","V",6650
"POLG_TBEVS","POLG","TBEVS","V6650","V",6650
"POLG_TBEVW","POLG","TBEVW","V6650","V",6650
"POLG_WNV","POLG","WNV","V6650","V",6650
"POLG_YEFV1","POLG","YEFV1","V6650","V",6650
"POLG_YEFV2","POLG","YEFV2","V6650","V",6650
"POLG_YEFV8","POLG","YEFV8","V6650","V",6650
"POLS_EEEV","POLS","EEEV","V6920","V",6920
"POLS_EEEV3","POLS","EEEV3","V6920","V",6920
"POLS_EEVV8","POLS","EEVV8","V6920","V",6920
"POLS_EEVVT","POLS","EEVVT","V6920","V",6920
"POLS_ONNVG","POLS","ONNVG","V6920","V",6920
"POLS_RRV2","POLS","RRV2","V6920","V",6920
"POLS_RRVN","POLS","RRVN","V6920","V",6920
"POLS_RRVT","POLS","RRVT","V6920","V",6920
"POLS_RUBV","POLS","RUBV","V6940","V",6940
"POLS_RUBVH","POLS","RUBVH","V6940","V",6940
"POLS_RUBVM","POLS","RUBVM","V6940","V",6940
"POLS_RUBVR","POLS","RUBVR","V6940","V",6940
"POLS_RUBVT","POLS","RUBVT","V6940","V",6940
"POLS_SFV","POLS","SFV","V6920","V",6920
"POLS_SINDO","POLS","SINDO","V6920","V",6920
"POLS_SINDV","POLS","SINDV","V6920","V",6920
"POLS_SINDW","POLS","SINDW","V6920","V",6920
"POLS_WEEV","POLS","WEEV","V6920","V",6920
"PORA_HUMAN","PORA","HUMAN","E5210","E",5210
"PORB_HUMAN","PORB","HUMAN","E5210","E",5210
"POTB_ECOLI","POTB","ECOLI","P0810","P",810
"POTC_ECOLI","POTC","ECOLI","P0810","P",810
"POTE_ECOLI","POTE","ECOLI","P0810","P",810
"PP41_HSV6G","PP41","HSV6G","V0214","V",214
"PPA1_YEAST","PPA1","YEAST","E8120","E",8120
"PPB_YEAST","PPB","YEAST","E8120","E",8120
"PPB1_HUMAN","PPB1","HUMAN","E5210","E",5210
"PPB2_HUMAN","PPB2","HUMAN","E5210","E",5210
"PPB3_HUMAN","PPB3","HUMAN","E5210","E",5210
"PPBE_MOUSE","PPBE","MOUSE","E5230","E",5230
"PPBI_BOVIN","PPBI","BOVIN","E5100","E",5100
"PPBI_HUMAN","PPBI","HUMAN","E5210","E",5210
"PPBI_MOUSE","PPBI","MOUSE","E5230","E",5230
"PPBI_RAT","PPBI","RAT","E5230","E",5230
"PPBN_HUMAN","PPBN","HUMAN","E5210","E",5210
"PPBT_BOVIN","PPBT","BOVIN","E5100","E",5100
"PPBT_HUMAN","PPBT","HUMAN","E5210","E",5210
"PPBT_MOUSE","PPBT","MOUSE","E5230","E",5230
"PPBT_RAT","PPBT","RAT","E5230","E",5230
"PRO1_LEIEN","PRO1","LEIEN","E1000","E",1000
"PROW_ECOLI","PROW","ECOLI","P0810","P",810
"PROW_SALTY","PROW","SALTY","P0810","P",810
