"ID","all","known orientation","ER, known orientation","all/Pam80","all/PAM200","ER/PAM200"
"1A38_HUMAN",217.0108,,,152,235,
"1A39_HUMAN",214.2678,194.047,194.047,152,235,191
"1AXX_HUMAN",213.6345,193.841,193.841,152,235,191
"1B01_GORGO",184.6536,161.1754,161.1754,152,235,191
"1B01_PANTR",185.4465,161.9365,161.9365,152,235,191
"1B01_SAGOE",173.8808,151.142,151.142,152,235,191
"1B02_GORGO",184.3143,160.8737,160.8737,152,235,191
"1B02_HUMAN",184.7269,161.3726,161.3726,152,235,191
"1B02_PANTR",185.1752,161.7492,161.7492,152,235,191
"1B03_GORGO",184.468,160.9372,160.9372,152,235,191
"1B04_GORGO",182.2471,159.1419,159.1419,152,235,191
"1B04_HUMAN",184.4772,161.1328,161.1328,152,235,191
"1B05_HUMAN",182.9386,159.7057,159.7057,152,235,191
"1B07_HUMAN",186.3841,162.8173,162.8173,152,235,191
"1B08_HUMAN",186.3412,162.7926,162.7926,152,235,191
"1B10_HUMAN",185.795,162.5129,162.5129,152,235,191
"1B11_HUMAN",186.1624,162.7968,162.7968,152,235,191
"1B12_HUMAN",186.0032,162.7046,162.7046,152,235,191
"1B13_HUMAN",185.0511,161.7514,161.7514,152,235,191
"1B14_HUMAN",185.5675,161.836,161.836,152,235,191
"1B15_HUMAN",185.2275,161.67,161.67,152,235,191
"1B16_HUMAN",185.0075,161.4667,161.4667,152,235,191
"1B18_HUMAN",185.6053,161.9702,161.9702,152,235,191
"1B20_HUMAN",186.4929,162.7145,162.7145,152,235,191
"1B21_HUMAN",184.6026,161.5423,161.5423,152,235,191
"1B22_HUMAN",184.66,161.518,161.518,152,235,191
"1B23_HUMAN",184.6689,161.52,161.52,152,235,191
"1B24_HUMAN",185.4818,162.2739,162.2739,152,235,191
"1B25_HUMAN",184.872,161.6757,161.6757,152,235,191
"1B26_HUMAN",184.7088,161.5464,161.5464,152,235,191
"1B27_HUMAN",183.8896,160.9371,160.9371,152,235,191
"1B28_HUMAN",184.4064,161.3428,161.3428,152,235,191
"1B29_HUMAN",186.0757,162.3001,162.3001,152,235,191
"1B31_HUMAN",186.2278,162.7515,162.7515,152,235,191
"1B32_HUMAN",186.5412,163.0029,163.0029,152,235,191
"1B35_HUMAN",184.4287,161.1789,161.1789,152,235,191
"1B36_HUMAN",184.8546,161.4813,161.4813,152,235,191
"1B38_HUMAN",183.5479,160.3084,160.3084,152,235,191
"1B39_HUMAN",185.6134,162.064,162.064,152,235,191
"1B40_HUMAN",182.5454,159.4435,159.4435,152,235,191
"1B41_HUMAN",182.8026,159.5544,159.5544,152,235,191
"1B42_HUMAN",183.1543,159.9255,159.9255,152,235,191
"1B43_HUMAN",183.5534,160.3661,160.3661,152,235,191
"1B44_HUMAN",186.1142,162.7238,162.7238,152,235,191
"1B45_HUMAN",183.8232,160.4718,160.4718,152,235,191
"1B46_HUMAN",182.9626,159.8614,159.8614,152,235,191
"1B47_HUMAN",183.0168,159.9496,159.9496,152,235,191
"1B48_HUMAN",184.3363,161.1526,161.1526,152,235,191
"1B49_HUMAN",183.901,160.7469,160.7469,152,235,191
"1B52_HUMAN",183.852,160.7826,160.7826,152,235,191
"1B53_HUMAN",184.209,160.978,160.978,152,235,191
"1B54_HUMAN",183.9766,160.919,160.919,152,235,191
"1B55_HUMAN",185.7353,162.4338,162.4338,152,235,191
"1B56_HUMAN",186.0324,162.7097,162.7097,152,235,191
"1B57_HUMAN",186.117,162.7758,162.7758,152,235,191
"1B58_HUMAN",185.8098,162.5392,162.5392,152,235,191
"1B59_HUMAN",186.2538,162.9439,162.9439,152,235,191
"1B60_HUMAN",183.4034,160.2969,160.2969,152,235,191
"1B61_HUMAN",183.368,160.2018,160.2018,152,235,191
"1B62_HUMAN",183.8777,160.7965,160.7965,152,235,191
"1B63_HUMAN",184.7447,161.5999,161.5999,152,235,191
"1C01_GORGO",177.7799,155.1394,155.1394,152,235,191
"1C01_HUMAN",179.598,156.7254,156.7254,152,235,191
"1C01_PANTR",176.3445,153.7359,153.7359,152,235,191
"1C01_SAGOE",172.1146,149.7536,149.7536,152,235,191
"1C02_GORGO",180.3377,157.2702,157.2702,152,235,191
"1C02_HUMAN",181.8937,158.7903,158.7903,152,235,191
"1C03_GORGO",180.4245,157.3612,157.3612,152,235,191
"1C03_HUMAN",178.895,156.2524,156.2524,152,235,191
"1C04_GORGO",180.9646,157.8479,157.8479,152,235,191
"1C04_HUMAN",182.6607,159.5644,159.5644,152,235,191
"1C05_HUMAN",179.4191,156.781,156.781,152,235,191
"1C06_HUMAN",183.1454,160.0023,160.0023,152,235,191
"1C07_HUMAN",180.8131,157.8821,157.8821,152,235,191
"1C12_HUMAN",182.3246,159.1583,159.1583,152,235,191
"1C13_HUMAN",182.01,158.8588,158.8588,152,235,191
"1C14_HUMAN",181.7224,158.6388,158.6388,152,235,191
"1C15_HUMAN",183.8962,160.5318,160.5318,152,235,191
"1C16_HUMAN",183.4819,160.1838,160.1838,152,235,191
"1C17_HUMAN",182.0257,158.9958,158.9958,152,235,191
"1C28_PANTR",168.0883,146.4827,146.4827,152,235,191
"1CXX_HUMAN",178.7282,155.8913,155.8913,152,235,191
"1OKO_GORGO",180.7638,157.6039,157.6039,152,235,191
"3BH1_HUMAN",7.873329,,,10,10,
"3BH1_MOUSE",8.010589,,,10,10,
"3BH1_RAT",8.144594,,,10,10,
"3BH2_HUMAN",7.847554,,,10,10,
"3BH2_MOUSE",8.051166,,,10,10,
"3BH2_RAT",8.081697,,,10,10,
"3BH3_MOUSE",7.9245,,,10,10,
"3BH3_RAT",7.550097,,,10,10,
"3BHS_BOVIN",7.70886,,,10,10,
"3BHS_MACMU",7.923759,,,10,10,
"4F2_HUMAN",1.742979,,,2,2,
"4F2_MOUSE",1.742979,,,2,2,
"5HT1_DROME",1,,,1,212,
"5HT2_CRIGR",4.173365,2.865029,2.865029,5,212,179
"5HT2_HUMAN",4.16373,2.833842,2.833842,5,212,179
"5HT2_RAT",4.163963,2.863923,2.863923,5,212,179
"5HT3_MOUSE",1,,,1,108,
"5HTA_DROME",1.637337,,,2,212,
"5HTA_HUMAN",1.894439,1.894439,1.894439,2,212,179
"5HTA_RAT",1.894439,1.894439,1.894439,2,212,179
"5HTB_DROME",1.637337,,,2,212,
"5HTB_MOUSE",5.868684,4.546901,4.546901,8,212,179
"5HTB_RAT",5.365436,4.059244,4.059244,8,212,179
"5HTC_HUMAN",3.859598,,,5,212,
"5HTC_RAT",3.878182,,,5,212,
"5HTD_CANFA",5.743457,,,8,212,
"5HTD_HUMAN",5.76197,,,8,212,
"5HTD_RAT",5.813698,4.03331,4.03331,8,212,179
"5HTE_HUMAN",4.511979,3.533996,3.533996,8,212,179
"5HTE_MOUSE",4.00983,2.991876,2.991876,8,212,179
"5HTX_HUMAN",5.861329,4.517364,4.517364,8,212,179
"7LES_DROME",4.66329,,,12,260,
"7LES_DROVI",3.682371,,,12,260,
"A1AA_HUMAN",4.607144,2.983395,2.983395,6,212,179
"A1AA_RAT",4.562399,,,6,212,
"A1AB_CANFA",4.768883,,,6,212,
"A1AB_MESAU",4.869339,3.269285,3.269285,6,212,179
"A1AB_RAT",4.836467,3.253897,3.253897,6,212,179
"A1AC_BOVIN",4.008096,2.807886,2.807886,6,212,179
"A2AA_HUMAN",7.229776,5.45625,5.45625,10,212,179
"A2AA_MOUSE",7.430049,5.596839,5.596839,10,212,179
"A2AA_PIG",7.446264,5.537708,5.537708,10,212,179
"A2AA_RAT",7.367929,5.544219,5.544219,10,212,179
"A2AB_HUMAN",6.730697,4.952876,4.952876,10,212,179
"A2AB_MOUSE",6.837644,5.109408,5.109408,10,212,179
"A2AB_RAT",7.010342,5.174665,5.174665,10,212,179
"A2AC_HUMAN",7.090387,,,10,212,
"A2AC_MOUSE",7.114608,,,10,212,
"A2AC_RAT",7.117269,,,10,212,
"A4_DROME",1,,,1,5,
"A4_HUMAN",4.326184,2.934756,2.934756,4,5,3
"A4_MOUSE",4.347829,2.956401,2.956401,4,5,3
"A4_RAT",4.349384,2.957957,2.957957,4,5,3
"A5_XENLA",1,1,1,1,1,1
"AA1R_BOVIN",6.503913,6.503913,6.503913,10,212,179
"AA1R_CANFA",6.517487,6.517487,6.517487,10,212,179
"AA1R_HUMAN",5.688368,5.688368,5.688368,10,212,179
"AA1R_RAT",5.645793,5.645793,5.645793,10,212,179
"AA2A_CANFA",5.921303,5.921303,5.921303,10,212,179
