"group-ID","Spec-Type","Spec-No","1st level","2nd level","3rd level","4th level","5th level","6th level","7th level"
"E2570","E",2570,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2580","E",2580,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2584","E",2584,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2590","E",2590,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","SARCOPTERYGII"
"E4000","E",4000,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AMPHIBIA","ANURA",
"E4010","E",4010,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AMPHIBIA","CAUDATA",
"E4200","E",4200,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","PALAEOGNATHAE","CASUARIIFORMES"
"E4220","E",4220,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","PALAEOGNATHAE","RHEIFORMES"
"E4240","E",4240,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","PALAEOGNATHAE","STRUTHIONIFORMES"
"E4260","E",4260,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","PALAEOGNATHAE","TINAMIFORMES"
"E4300","E",4300,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","ANSERIFORMES"
"E4320","E",4320,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","APODIFORMES"
"E4340","E",4340,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","ARDEIFORMES"
"E4350","E",4350,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","CAPRIMULGIFORMES"
"E4360","E",4360,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","CHARADRIIFORMES"
"E4380","E",4380,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","CICONIIFORMES"
"E4400","E",4400,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","COLUMBIFORMES"
"E4420","E",4420,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","CORACIADIFORMES"
"E4440","E",4440,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","CUCULIFORMES"
"E4460","E",4460,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","FALCONIFORMES"
"E4480","E",4480,"METAZOA","CHORDATA","VERTEBRATA","TETRAPODA","AVES","NEOGNATHAE","GALLIFORMES"
